"title","stars","text","publishedAtDate","name","reviewerNumberOfReviews","isLocalGuide","reviewUrl","reviewerUrl","responseFromOwnerText","responseFromOwnerDate","originalLanguage","likesCount","visitedIn"
"Restaurante Parrilla Maravilla","5","Falta alguna alternativa más en cortes de carne","2026-06-01T17:51:18.417Z","JORGE NORBERTO OJEDA","2","false","https://www.google.com/maps/reviews/data=!4m8!14m7!1m6!2m5!1sCi9DQUlRQUNvZENodHljRjlvT21kM1VVZDRUWGN6ZDBoaFdsQnBUVlF5UWxJdFgwRRAB!2m1!1s0x0:0x83f734f0120baca0!3m1!1s2@1:CAIQACodChtycF9oOmd3UUd4TXczd0hhWlBpTVQyQlItX0E%7C%7C?hl=es-419","https://www.google.com/maps/contrib/117006000729733867760?hl=es-419",,,"es","0",
"Restaurante Parrilla Maravilla","5",,"2026-05-30T03:00:07.540Z","Pablo Garriga","1","false","https://www.google.com/maps/reviews/data=!4m8!14m7!1m6!2m5!1sCi9DQUlRQUNvZENodHljRjlvT21WMFkzRm9Ra0p1YzB0VVdrUlFabmxJVkhkeVFXYxAB!2m1!1s0x0:0x83f734f0120baca0!3m1!1s2@1:CAIQACodChtycF9oOmV0Y3FoQkJuc0tUWkRQZnlIVHdyQWc%7C%7C?hl=es-419","https://www.google.com/maps/contrib/102951417266869180058?hl=es-419",,,,"0",
"Restaurante Parrilla Maravilla","4","La comida me pareció deliciosa; la marucha salió en un punto increíble y estaba muy tierna. Las papas son muy ricas y lo que me sorprendió gratamente fue la ensalada de kale (que si bien la proponen como un principal, también puede ser una buena guarnición para compartir entre varios); buena combinación de texturas y sabores.
Lo único que mejoraría es la “panera”, ya que, para el tipo de restaurante y los precios que manejan, se queda un poco corta: incluir solo 1 pan y 4 talitas para una mesa de 3 a 4 personas no alcanza.
La atención fue cálida y servicial, sin tornarse invasiva; y el lugar tiene una muy linda ambientación.","2026-05-30T02:32:06.375Z","Renata Galizia","102","true","https://www.google.com/maps/reviews/data=!4m8!14m7!1m6!2m5!1sCi9DQUlRQUNvZENodHljRjlvT2tkeVRHMUNjV013TVhCcGQzcFRjbUZ3TWxsRGVWRRAB!2m1!1s0x0:0x83f734f0120baca0!3m1!1s2@1:CAIQACodChtycF9oOkdyTG1CcWMwMXBpd3pTcmFwMllDeVE%7C%7C?hl=es-419","https://www.google.com/maps/contrib/103736990222021301323?hl=es-419",,,"es","0",
"Restaurante Parrilla Maravilla","5","Riquísimo! Empanadas buenísimas, Marucha gran corte! Atencion de Leandro un 10, gracias","2026-05-24T17:35:21.350Z","Claudia Kuc","7","false","https://www.google.com/maps/reviews/data=!4m8!14m7!1m6!2m5!1sCi9DQUlRQUNvZENodHljRjlvT2toaVNHNUhha1JsT0dkb2NucHhWV05HWTB0SExXYxAB!2m1!1s0x0:0x83f734f0120baca0!3m1!1s2@1:CAIQACodChtycF9oOkhiSG5HakRlOGdocnpxVWNGY0tHLWc%7C%7C?hl=es-419","https://www.google.com/maps/contrib/101577400606567098928?hl=es-419",,,"es","0",
"Restaurante Parrilla Maravilla","5","Buenisimooo
Stracciatella con morron, marucha com arroz y huevo. El combo perfecto
El panqueque 🔝","2026-05-24T15:29:21.593Z","Nicolas Esmede","30","true","https://www.google.com/maps/reviews/data=!4m8!14m7!1m6!2m5!1sCi9DQUlRQUNvZENodHljRjlvT2toQlJtcDNiM0pSVFZaTVRFRkZZaTFDYUVwTmJFRRAB!2m1!1s0x0:0x83f734f0120baca0!3m1!1s2@1:CAIQACodChtycF9oOkhBRmp3b3JRTVZMTEFFYi1CaEpNbEE%7C%7C?hl=es-419","https://www.google.com/maps/contrib/101024045364438969516?hl=es-419",,,"es","0",
"Restaurante Parrilla Maravilla","4","Como siempre, súper cumplidor, para compartir con amigas.
Desde el ambiente, la comida y la atención.
Voy a volver y recomendaré sin duda.","2026-05-23T11:26:57.440Z","Crispina oficial","6","false","https://www.google.com/maps/reviews/data=!4m8!14m7!1m6!2m5!1sCi9DQUlRQUNvZENodHljRjlvT2tkU1VsWkdaRmd4VFZOU1RXRklNRUpJUW1KalNtYxAB!2m1!1s0x0:0x83f734f0120baca0!3m1!1s2@1:CAIQACodChtycF9oOkdSUlZGZFgxTVNSTWFIMEJIQmJjSmc%7C%7C?hl=es-419","https://www.google.com/maps/contrib/116687717336404259621?hl=es-419",,,"es","0",
"Restaurante Parrilla Maravilla","5",,"2026-05-20T20:22:19.668Z","Diego","36","true","https://www.google.com/maps/reviews/data=!4m8!14m7!1m6!2m5!1sCi9DQUlRQUNvZENodHljRjlvT2sxbmMxTm5WakJ5TTIxQlMyRkxMVzFGY25Cb1MzYxAB!2m1!1s0x0:0x83f734f0120baca0!3m1!1s2@1:CAIQACodChtycF9oOk1nc1NnVjByM21BS2FLLW1FcnBoS3c%7C%7C?hl=es-419","https://www.google.com/maps/contrib/101873553517987995684?hl=es-419",,,,"0",
"Restaurante Parrilla Maravilla","5",,"2026-05-20T00:52:21.316Z","Sofia Cseh Karadagian","14","false","https://www.google.com/maps/reviews/data=!4m8!14m7!1m6!2m5!1sCi9DQUlRQUNvZENodHljRjlvT2tWT1JsVnhTSEoxZHpGQ01UUkJjVVpIVG5OMmNuYxAB!2m1!1s0x0:0x83f734f0120baca0!3m1!1s2@1:CAIQACodChtycF9oOkVORlVxSHJ1dzFCMTRBcUZHTnN2cnc%7C%7C?hl=es-419","https://www.google.com/maps/contrib/109868192429445298255?hl=es-419",,,,"0",
"Restaurante Parrilla Maravilla","5","Me gustó mucho la propuesta diferenciada de Lardo y Lardito.

Fui solo. Tuve la suerte que me atendió Felipe,  estuvo atento a todo y las sugerencias y los pedidos fueron acertados.  El commis que bajaba los platos muy bien también.

Lamentablemente la única mala experiencia fue otro camarero que me fue desmantelando la mesa por estar solo “me llevo la sillita maestro?” Para dársela a otra mesa que apoye un solo abrigo cuando el mío estaba en mi propia silla. Ese camarero que realmente no coincide con el ambiente atendía las mesas vecinas y era todo en un tono que nada coincidía con el ambiente que se pretendía.

La stracciatella con morrones deslumbrante, la hamburguesa impecable deberían subirle un poco el precio e incluir las papas (no existe una burger si sus compañeros 🍟), luego Felipe me sugirio probar un flan que aún no estaba en carta y estaba exquisito similar a un flan parisino o natilla quizás el dulce de leche no debería ser repostero para que acompañe la suavidad del flan.  La copa de vino poco generosa, la cristalería es divina pero es una copa muy angosta.

Por lo pronto el Patio es amigable a recibir a tu 🐕, un plus.","2026-05-16T15:16:16.858Z","ALE CAPALOZZA","150","true","https://www.google.com/maps/reviews/data=!4m8!14m7!1m6!2m5!1sCi9DQUlRQUNvZENodHljRjlvT25CVlQzcDVZbkF3TUVOYWNUQm1XRXBZY21SVlJsRRAB!2m1!1s0x0:0x83f734f0120baca0!3m1!1s2@1:CAIQACodChtycF9oOnBVT3p5YnAwMENacTBmWEpYcmRVRlE%7C%7C?hl=es-419","https://www.google.com/maps/contrib/101097266661265161398?hl=es-419",,,"es","0",
"Restaurante Parrilla Maravilla","5",,"2026-05-12T17:43:14.066Z","Valentina Zarate","4","false","https://www.google.com/maps/reviews/data=!4m8!14m7!1m6!2m5!1sCi9DQUlRQUNvZENodHljRjlvT2xKeFF6QXdXREJHVDJFMVVFY3daalpsVVZveU9HYxAB!2m1!1s0x0:0x83f734f0120baca0!3m1!1s2@1:CAIQACodChtycF9oOlJxQzAwWDBGT2E1UEcwZjZlUVoyOGc%7C%7C?hl=es-419","https://www.google.com/maps/contrib/102949786586550748843?hl=es-419",,,,"0",
