"title","stars","text","publishedAtDate","name","reviewerNumberOfReviews","isLocalGuide","reviewUrl","reviewerUrl","responseFromOwnerText","responseFromOwnerDate","originalLanguage","likesCount","visitedIn"
"Lardo & Rosemary","5","Platos chicos, relativamente caro pero muy muy rico y muy buena atención.","2026-06-04T03:56:52.247Z","Matias Di Guglielmo","3","false","https://www.google.com/maps/reviews/data=!4m8!14m7!1m6!2m5!1sCi9DQUlRQUNvZENodHljRjlvT2pWSmRqbFNlVVpzUzJGd1FWcEtOVW8xY0VGcFoxRRAB!2m1!1s0x0:0x5344f4ed57e92227!3m1!1s2@1:CAIQACodChtycF9oOjVJdjlSeUZsS2FwQVpKNUo1cEFpZ1E%7C%7C?hl=es-419","https://www.google.com/maps/contrib/115195884355841998813?hl=es-419",,,"es","0",
"Lardo & Rosemary","5","Todo muy sabroso, el personal super atentos. Muy buena carta de vinos y ambiente super calido. Volveremos!","2026-06-03T16:47:35.805Z","Marcello Elef","60","true","https://www.google.com/maps/reviews/data=!4m8!14m7!1m6!2m5!1sCi9DQUlRQUNvZENodHljRjlvT2s0eVZtSTBVRWxwWVdVMWNFZFdhVVZwZUdwMWNGRRAB!2m1!1s0x0:0x5344f4ed57e92227!3m1!1s2@1:CAIQACodChtycF9oOk4yVmI0UElpYWU1cEdWaUVpeGp1cFE%7C%7C?hl=es-419","https://www.google.com/maps/contrib/116059084001078555515?hl=es-419",,,"es","0",
"Lardo & Rosemary","5","Lindo el lugar, la comida, la atencion, la música","2026-05-29T14:54:35.861Z","Agostina Micaela Dragonetti","3","false","https://www.google.com/maps/reviews/data=!4m8!14m7!1m6!2m5!1sCi9DQUlRQUNvZENodHljRjlvT2w5emQzSnlRbDh6Y201MWMwdG5RVWxRVlY5NmIxRRAB!2m1!1s0x0:0x5344f4ed57e92227!3m1!1s2@1:CAIQACodChtycF9oOl9zd3JyQl8zcm51c0tnQUlQVV96b1E%7C%7C?hl=es-419","https://www.google.com/maps/contrib/108506607218298637110?hl=es-419",,,"es","0",
"Lardo & Rosemary","5",,"2026-05-27T02:22:47.727Z","natalia vasicek","0","false","https://www.google.com/maps/reviews/data=!4m8!14m7!1m6!2m5!1sCi9DQUlRQUNvZENodHljRjlvT2xaZmMwWjVNSEUwVERCb05VeGxVRXRYYWxoeVRYYxAB!2m1!1s0x0:0x5344f4ed57e92227!3m1!1s2@1:CAIQACodChtycF9oOlZfc0Z5MHE0TDBoNUxlUEtXalhyTXc%7C%7C?hl=es-419","https://www.google.com/maps/contrib/105018740271753612493?hl=es-419",,,,"0",
"Lardo & Rosemary","4","Bien he comido mejor ahí.
Comimos el choclo, el tiradito, 2 copas de vino y postre","2026-05-24T23:04:47.209Z","Nasha Pieczanski","10","true","https://www.google.com/maps/reviews/data=!4m8!14m7!1m6!2m5!1sCi9DQUlRQUNvZENodHljRjlvT2kxU2JURjJSbVI1ZFhGUllqbDRUV1l5YVhkNGRIYxAB!2m1!1s0x0:0x5344f4ed57e92227!3m1!1s2@1:CAIQACodChtycF9oOi1SbTF2RmR5dXFRYjl4TWYyaXd4dHc%7C%7C?hl=es-419","https://www.google.com/maps/contrib/113248331915816639348?hl=es-419",,,"es","0",
"Lardo & Rosemary","5",,"2026-05-23T21:04:02.478Z","Pilar Garat","3","false","https://www.google.com/maps/reviews/data=!4m8!14m7!1m6!2m5!1sCi9DQUlRQUNvZENodHljRjlvT25KWVQwRkdZbEZUYW1GNlNFNDNkRFp3Y1V4NmFGRRAB!2m1!1s0x0:0x5344f4ed57e92227!3m1!1s2@1:CAIQACodChtycF9oOnJYT0FGYlFTamF6SE43dDZwcUx6aFE%7C%7C?hl=es-419","https://www.google.com/maps/contrib/103592528277543197805?hl=es-419",,,,"0",
"Lardo & Rosemary","5",,"2026-05-18T00:25:19.412Z","nazarena sopranzi","9","false","https://www.google.com/maps/reviews/data=!4m8!14m7!1m6!2m5!1sCi9DQUlRQUNvZENodHljRjlvT2tSRVNqaDVObmw1ZVdKcWEyWkpSekJTTnpkUE5XYxAB!2m1!1s0x0:0x5344f4ed57e92227!3m1!1s2@1:CAIQACodChtycF9oOkRESjh5Nnl5eWJqa2ZJRzBSNzdPNWc%7C%7C?hl=es-419","https://www.google.com/maps/contrib/100561948484373853231?hl=es-419",,,,"0",
"Lardo & Rosemary","4","El lugar es hermoso: iluminación tenue, plantas y una cava enorme que hacen que el ambiente se sienta súper cálido y canchero sin perder lo relajado.

La comida estuvo excelente y con combinaciones bastante originales. Probamos la pesca curada; los tacos de pesca karaage, un sándwich de lomo con queso y ananá que honestamente no esperaba que funcionara tan bien (ojo, tiene un punto particular, te tiene que gustar jugosa la carne). Y unos bao que para mí la masa estaba muy gruesa.

Se nota mucho el cuidado en los sabores, la presentación y la propuesta del lugar. La atención espectacular, te asesoran muy bien a la hora de pedir. Definitivamente un lugar al que volvería.","2026-05-16T13:05:57.966Z","María Victoria Ruiz","14","true","https://www.google.com/maps/reviews/data=!4m8!14m7!1m6!2m5!1sCi9DQUlRQUNvZENodHljRjlvT2t3NGJsaGZVbmxLVG1KMVVIcElNakZ0VkhWMldYYxAB!2m1!1s0x0:0x5344f4ed57e92227!3m1!1s2@1:CAIQACodChtycF9oOkw4blhfUnlKTmJ1UHpIMjFtVHV2WXc%7C%7C?hl=es-419","https://www.google.com/maps/contrib/115520519170735370665?hl=es-419",,,"es","0",
"Lardo & Rosemary","5",,"2026-05-12T21:11:36.933Z","Santiago Forteza","25","true","https://www.google.com/maps/reviews/data=!4m8!14m7!1m6!2m5!1sCi9DQUlRQUNvZENodHljRjlvT25Wc2REZG5VVzVOT1ZselNFSnBTRXB5YWxWdFkwRRAB!2m1!1s0x0:0x5344f4ed57e92227!3m1!1s2@1:CAIQACodChtycF9oOnVsdDdnUW5NOVlzSEJpSEpyalVtY0E%7C%7C?hl=es-419","https://www.google.com/maps/contrib/100645856013997498004?hl=es-419",,,,"0",
"Lardo & Rosemary","5","La comida es una explosión  de sensaciones y de palcer para los sentidos,  el servicio es súper amable y el ambiente muy moderno! Los vinos muy ricos! Solamente le puedo criticae que cerca de la puerta se pone frio de entrar y salir los chicos, quizás  unas mantitas o el aire caliente más  fuerte  ayudarían a pasar mejor en ese sentido! Volveremos!","2026-05-10T02:13:05.115Z","militza araujo","89","true","https://www.google.com/maps/reviews/data=!4m8!14m7!1m6!2m5!1sCi9DQUlRQUNvZENodHljRjlvT20wNE1WUnNTR0ZuTUcxaGJreFFaWFpZU1dzeVFuYxAB!2m1!1s0x0:0x5344f4ed57e92227!3m1!1s2@1:CAIQACodChtycF9oOm04MVRsSGFnMG1hbkxQZXZYSWsyQnc%7C%7C?hl=es-419","https://www.google.com/maps/contrib/112548409529044698257?hl=es-419",,,"es","0",
