"title","stars","text","publishedAtDate","name","reviewerNumberOfReviews","isLocalGuide","reviewUrl","reviewerUrl","responseFromOwnerText","responseFromOwnerDate","originalLanguage","likesCount","visitedIn"
"Hotel Aguas del Sur","5",,"2026-05-11T23:09:11.230Z","Bautista Garcia","40","true","https://www.google.com/maps/reviews/data=!4m8!14m7!1m6!2m5!1sCi9DQUlRQUNvZENodHljRjlvT2w5RlNYVkJOVUoyWVRWUGVtOVFMVkp1ZG5ST1RtYxAB!2m1!1s0x0:0xd71981f359c66b2!3m1!1s2@1:CAIQACodChtycF9oOl9FSXVBNUJ2YTVPem9QLVJudnROTmc%7C%7C?hl=es-419","https://www.google.com/maps/contrib/112651560320951467286?hl=es-419",,,,"0",
"Hotel Aguas del Sur","4","Excelente servicio, las habitaciones super limpias y cómodas. Desayunos super completos","2026-02-17T17:44:59.076Z","Arantxa Ferré Hughes","15","true","https://www.google.com/maps/reviews/data=!4m8!14m7!1m6!2m5!1sCi9DQUlRQUNvZENodHljRjlvT21adlFtWXdkWFIwYW5STVZqaFVhbGhoVEZaRGVIYxAB!2m1!1s0x0:0xd71981f359c66b2!3m1!1s2@1:CAIQACodChtycF9oOmZvQmYwdXR0anRMVjhUalhhTFZDeHc%7C%7C?hl=es-419","https://www.google.com/maps/contrib/112792245055880063494?hl=es-419",,,"es","0",
"Hotel Aguas del Sur","5",,"2026-02-17T15:34:05.136Z","Nicolás","57","true","https://www.google.com/maps/reviews/data=!4m8!14m7!1m6!2m5!1sCi9DQUlRQUNvZENodHljRjlvT21veloxWjBNMHR3VlZaRFRFSkdZVVZuUmxad1NHYxAB!2m1!1s0x0:0xd71981f359c66b2!3m1!1s2@1:CAIQACodChtycF9oOmozZ1Z0M0twVVZDTEJGYUVnRlZwSGc%7C%7C?hl=es-419","https://www.google.com/maps/contrib/112274376080879081473?hl=es-419",,,,"0",
"Hotel Aguas del Sur","5","Volvere","2026-02-14T12:34:31.872Z","Juan R.","479","true","https://www.google.com/maps/reviews/data=!4m8!14m7!1m6!2m5!1sCi9DQUlRQUNvZENodHljRjlvT2pKWFlrMWhiVGc0V1dwR0xVRjZhR1JRUjNSYU4zYxAB!2m1!1s0x0:0xd71981f359c66b2!3m1!1s2@1:CAIQACodChtycF9oOjJXYk1hbTg4WWpGLUF6aGRQR3RaN3c%7C%7C?hl=es-419","https://www.google.com/maps/contrib/117151127716599106217?hl=es-419",,,"es","0",
"Hotel Aguas del Sur","5",,"2026-02-05T22:10:36.448Z","Santiago Martinez","3","false","https://www.google.com/maps/reviews/data=!4m8!14m7!1m6!2m5!1sCi9DQUlRQUNvZENodHljRjlvT25SRFRUTXlVME4wUXpoTE4zZFlielpFV205RFZuYxAB!2m1!1s0x0:0xd71981f359c66b2!3m1!1s2@1:CAIQACodChtycF9oOnRDTTMyU0N0QzhLN3dYbzZEWm9DVnc%7C%7C?hl=es-419","https://www.google.com/maps/contrib/114312324109208186314?hl=es-419",,,,"0",
"Hotel Aguas del Sur","5",,"2026-02-05T19:47:58.137Z","Florencia martinich","14","true","https://www.google.com/maps/reviews/data=!4m8!14m7!1m6!2m5!1sCi9DQUlRQUNvZENodHljRjlvT25OelZWTXphVzlPT0RkaGJUWnRSREJ4ZUU5cWVIYxAB!2m1!1s0x0:0xd71981f359c66b2!3m1!1s2@1:CAIQACodChtycF9oOnNzVVMzaW9OODdhbTZtRDBxeE9qeHc%7C%7C?hl=es-419","https://www.google.com/maps/contrib/115390626890459514233?hl=es-419",,,,"0",
"Hotel Aguas del Sur","5","Excelente , es la segunda vez que vamos a este hotel de las 4 que fuimos a Bariloche. El servicio del restaurante lo.mas!","2026-02-03T14:19:32.767Z","marcia amerio","4","false","https://www.google.com/maps/reviews/data=!4m8!14m7!1m6!2m5!1sCi9DQUlRQUNvZENodHljRjlvT200MVZUVkVYMWx0VmxKR1dtdGlSRXhqUWxkMVVVRRAB!2m1!1s0x0:0xd71981f359c66b2!3m1!1s2@1:CAIQACodChtycF9oOm41VTVEX1ltVlJGWmtiRExjQld1UUE%7C%7C?hl=es-419","https://www.google.com/maps/contrib/117066603333355338556?hl=es-419",,,"es","0",
"Hotel Aguas del Sur","4","Excelente atención y muy buena ubicación","2026-01-31T22:53:37.461Z","Marina Contreras","11","true","https://www.google.com/maps/reviews/data=!4m8!14m7!1m6!2m5!1sCi9DQUlRQUNvZENodHljRjlvT2tWWVRVZEVOVXRNZEhOemIxWnJNSGxyT0ZoSFNHYxAB!2m1!1s0x0:0xd71981f359c66b2!3m1!1s2@1:CAIQACodChtycF9oOkVYTUdENUtMdHNzb1ZrMHlrOFhHSGc%7C%7C?hl=es-419","https://www.google.com/maps/contrib/105071339158121197748?hl=es-419",,,"es","0",
"Hotel Aguas del Sur","5","Lindo hotel, se ve que fue refaccionando, y lo dejaron lindo... buen desayuno,variado y excelente atención de su personal","2026-01-31T00:09:22.814Z","gonzalo haffner","6","true","https://www.google.com/maps/reviews/data=!4m8!14m7!1m6!2m5!1sCi9DQUlRQUNvZENodHljRjlvT2pod0xVZHZWVmhwY1ZCNVNYUTNaM2QxTVhGUlRVRRAB!2m1!1s0x0:0xd71981f359c66b2!3m1!1s2@1:CAIQACodChtycF9oOjhwLUdvVVhpcVB5SXQ3Z3d1MXFRTUE%7C%7C?hl=es-419","https://www.google.com/maps/contrib/109566464891952955864?hl=es-419",,,"es","0",
"Hotel Aguas del Sur","4","Excelente ubicación, instalaciones antiguas. Nos tocó vista a la calle con mucho movimiento, incluso de madrugada.","2026-01-29T02:22:23.460Z","Conrado Sanchez Menvielle","17","true","https://www.google.com/maps/reviews/data=!4m8!14m7!1m6!2m5!1sCi9DQUlRQUNvZENodHljRjlvT2tzMFJHUkdXRUpMZGtWMlNUUklWM0o0U0ZGbFRGRRAB!2m1!1s0x0:0xd71981f359c66b2!3m1!1s2@1:CAIQACodChtycF9oOks0RGRGWEJLdkV2STRIV3J4SFFlTFE%7C%7C?hl=es-419","https://www.google.com/maps/contrib/109910071205955493190?hl=es-419",,,"es","0",
"Hotel Aguas del Sur","5",,"2026-01-27T16:48:52.765Z","Ana","2","false","https://www.google.com/maps/reviews/data=!4m8!14m7!1m6!2m5!1sCi9DQUlRQUNvZENodHljRjlvT2pjdFYyTkNWbXR6ZEhKaVNWSXRibE5IUWxkWllsRRAB!2m1!1s0x0:0xd71981f359c66b2!3m1!1s2@1:CAIQACodChtycF9oOjctV2NCVmtzdHJiSVItblNHQldZYlE%7C%7C?hl=es-419","https://www.google.com/maps/contrib/112883129777364401247?hl=es-419",,,,"0",
"Hotel Aguas del Sur","5","Excelente! Cómodo!","2026-01-27T01:28:18.867Z","Loly Garay","28","true","https://www.google.com/maps/reviews/data=!4m8!14m7!1m6!2m5!1sCi9DQUlRQUNvZENodHljRjlvT2s1bWJYZ3pUMmt3TFVSblJVUnFUbUpuVnpSUGIzYxAB!2m1!1s0x0:0xd71981f359c66b2!3m1!1s2@1:CAIQACodChtycF9oOk5mbXgzT2kwLURnRURqTmJnVzRPb3c%7C%7C?hl=es-419","https://www.google.com/maps/contrib/116895350184787384580?hl=es-419",,,"es","0",
