Marca temporal,¿Cómo calificarías en general al BootCamp?,¿Qué tan conforme estuviste con la organización del evento? ,¿Qué opinás acerca del trabajo realizado por nuestro equipo organizador?,¿Qué te pareció el proceso de acreditación? ,¿Qué te pareció el formulario de inscripción al BootCamp?,¿Estuviste conforme con la categoría a la que fuiste asignado?,"Si tu respuesta en la pregunta anterior fue no, ¿en cuál te hubiese gustado estar?",¿Qué tan útil creés que fue el hilo conductor de las charlas durante el BootCamp?,¿Qué tan conforme estuviste con las charlas de los oradores?,¿Cuál fue tu orador favorito? ¿Por qué?,¿Qué tan conforme estuviste con los mentores?,"Si quieres, dejanos un comentario sobre los mentores:",¿Qué tan conforme estuviste con el after con empresas?,¿Qué tan conforme estuviste con la comida?,¿Recomendarías el BootCamp a tus amigos o familia?,¿Qué recomendación nos harías para tener en cuenta en la próxima edición?,¿Te hospedaste en el Hostel Lounge BA?,¿Te fue sencillo el traslado del aeropuerto/terminal hasta el hostel? ¿Por qué?,¿Qué te pareció el traslado de Lounge BA a las ubicaciones del BootCamp? ,"Cuando llegaste a la habitación, ¿estaba todo en buenas condiciones? ¿Necesitaste ayuda en algo por parte del hotel? Contanos",¿Estás conforme con la elección de la habitación? ¿Sufriste alguna incomodidad? ,¿Algo que quieras decirnos? Te leemos,¿Conoces a la empresa Belo?,¿Qué es lo que más te gusta de la App?,¿Qué te gustaría que sumemos a la App?,Te dejamos este espacio para hacer algún comentario extra
,10,10,Todos los pibes de trama son unos genios.,10,7,No,Ambiente y Agroindustria,10,10,Santos y nacho de volantis. Porque nos abrieron la cabeza para el problema que estuvimos resolviendo ,9,"Unos capos todos. Nemesio y Alcaraz los mejores, también Valentino marchesini",9,10,10,"La verdad fue exelente, el after fue exelente. Tal vez intentaría traer más speakers",No,,,,,,"Sí, ya conocía la empresa desde antes",,,Traigan a los speakers al after 
28/05/2025 14:23:58,10,10,Todo impecable ,10,9,No,Entretenimiento y Consumo,10,10,"El primero, el fundador de flybondi. Porque fue super motivadora e inspiradora ademas de que conto anecdotas de su vida. Fue nuy genuina eso me encanto. Y tampoco mostro diapositivas, lo que tmb me encanto",10,Todos excelentes.,10,10,10,"Lo unico que sugiero es que vayan personas que realmente tengan ganas de ir. Por ejemplo, un compañero de mi equipo asistió porque un amigo de él le ofrecio el lugar porque justo les habia quedado un lugar vacio de ultimo momento y se le notaba el poco interes en participar a mi compañero (mi compañero de equipo nunca se habia anotado para asistir al bootcamp). Por ahi es preferible que nadie reemplace ese lugar y quede libre, antes de que vaya alguien que no tenga ganas de participar. Solamente esa sugerencia chicos, después todo estuvo impecable, se los super super agradezco🫶🏽",No,,,,,,No la conozco,,,"Mil gracias nuevamente, ojala todos tengan la oportunidad de ir"
28/05/2025 14:24:55,10,9,Excelente,10,7,Si,,9,9,"Gastón Parisier, se sintió muy orgánica la charla",9,"En la etapa de definir el problema por ahí nos apuraban bastante si bien otros grupos no habían terminado de pensarlo tampoco, pero no fue ningún problema destacable, solo un comentario",7,9,10,"Dar más tiempo para trabajar, especialmente el día de la preparación del pitch, y además estaría bueno saber el cronograma a pesar de que quieran que nos llevemos sorpresas, estaría bueno al menos saber los horarios que vamos a tener para trabajar.",No,,,,,,"Sí, ya conocía la empresa desde antes",,,Muchas gracias por todo
28/05/2025 14:28:13,7,7,bueno,9,9,No,Logística e Infraestructura,7,5,paula estrada por hacer llegar el mensaje que quiso dar. y el ceo de bigbox. parisier. buena charla interesante. las demas estuvieron bastante aburridas aunque utiles,6,"venian muy seguido a interumpir, y muchas veces paso de que nos interrumpio una idea y despues queda en la nada la idea. esta buenisimo que vengan a preguntar como esta el grupo pero en mi opinion tiene que ser sin tanta consancia",1,3,6,"Tuvimos aprox 20 charlas y SOLO 2 FUERON MUJERES, opino que deberian ser mas equitativos ya que hay muchas mujeres emprendedoras exitosas y mujeres interesantisimas que aportarian un monton al bootcamp",No,,,,,,"Sí, ya conocía la empresa desde antes",,,
28/05/2025 14:31:45,10,9,"Todo el equipo con una predisposición espectacular, buena onda y energia a pesar del cansancio 🫶",8,7,Si,,9,9,"Mario Pergolini o Paula, tienen un carisma y una llegada al publico excelente.",10,Poca coordinacion en los comentarios entre un mentor y otro.,8,10,10,"Unicamente estar al tanto de la existencia de proyectos similares en el bootcamp, por ejemplo, que los jurados esten al tanto o investiguen si existe en el mercado una solucion similar o igual a la que fue pitcheada para tenerlo en cuenta en la evaluación.",No,,,,,,"Sí, ya conocía la empresa desde antes",,,
28/05/2025 14:36:32,7,7,"Muy bueno, muy buena predisposición. Me hubiera gustado que nos comunicaran con más antelación el cronograma de actividades y de trabajo grupal",7,8,Si,,10,10,"Mario pergolini, me parecio espectacular su forma de comunicar y las cosas que contó",8,,6,6,9,Considerar armar un cronograma estimativo y mandárselo a los participantes así saben cuanto tiempo van a tener para cada actividad. Por otroclado intentar que la comida llegue un poco mas caliente,No,,,,,,No la conozco,,,Estuvo muy divertido y estuvieron increíbles los oradores. Gracias!
28/05/2025 14:38:42,9,10,"El equipo organizador fue muy atento y responsable, muy buen trato hacia todos",10,10,Si,,8,9,La charla de Clicoh me gustó mucho porque demostró como siendo jóvenes y partiendo desde una idea simple se puede ir escalando y lograr un buen negocio,6,hacian buenos aportes pero a veces interrumpian demasiado y nos costaba avanzar,10,10,10,"A modo de comentario y sin ánimos de criticar, se me ocurre que capaz las comidas podrían ser mas variadas, entiendo la practicidad de los sanguches  y estaban riquísimos pero capaz fue demasiado comer eso 3 veces seguidas. Otra cosa que se me ocurre es invitar a mas oradoras mujeres. Como ultimo comentario pienso que por ahí estariía bueno armar cada grupo de trabajo teniendo en cuenta las carreras que estudia cada uno. En mi caso particular me pasó que éramos tres de ing industrial, 1 de informática y 1 de actuario, que son carreras muy relacionadas. Siento que nos faltaba un punto de vista mas humanístico y blando, no tan técnico. Son algunas cositas que se me ocurre que podría estar bueno, aun así fue una experiencia inolvidable y estoy muy agradecida de haber tenido la oportunidad de participar!! <3 gracias gracias graciassss",Sí,"Si, me tomé un uber y el viaje fue dentro de todo bastante corto",Muy bueno,Todo re bien,"Re conforme, pedí compartir habitación con mis amigas y lo tuvieron en cuenta",.,Conoci la empresa en el evento,,,
28/05/2025 14:39:07,10,9,"Son unos genios, espero que contagien a más gente de su buena predisposición y de su actitud!!🫶💪",10,9,No,"Educación, Salud y Bienestar",8,9,"Paula Estrada, fue una genia, sirvió reirse un poco para descontracturarse.  ",10,"Unos genios, Joaquin el mejor",7,6,10,"Que agreguen a más mujeres a las charlas, eso llega a motivar aun más por ser otro punto de vista ",No,,,,,,"Sí, ya conocía la empresa desde antes",,,"Fue un evento que voy a recordar siempre, me gustaría que fuera mas dias y tambien me encantaría volver a participar. Ya estoy recoemndando a los que pueda la proxima edicion"
28/05/2025 14:39:31,10,10,Excelente,10,7,Si,,7,9,"Gaston, porque es crack",10,,6,6,10,.,No,,,,,,No la conozco,,,
28/05/2025 14:40:49,10,10,Excelente! Mejoraría la hora de la comida para que no demore tanto nada más!,10,9,Si,,8,8,"El veteranuo de malvinas, porque termino siendo una charla mucho más cercana ",10,,5,6,10,Únicamente mejorar la comida para que la.mayoria coma caliente!,Sí,Si! Use Uber y no tuve inconveniente ,Muy bueno,Todo excelente a la llegada,Ninguna,"Revisar tema de limpieza de baños, avisar antes que no hay servicio así nos preparamos antes, porque con el tiempo no se da espacio para las compras","Sí, ya conocía la empresa desde antes",No la utilizo,,
