Marca temporal,¿Cómo calificarías el BootCamp Emprendedores 2026?,¿Qué tan conforme estuviste con la organización del evento? ,¿Qué opinás acerca del trabajo realizado por nuestro equipo organizador?,¿Qué te pareció el proceso de acreditación? ,¿Qué te pareció el formulario de inscripción?,¿Qué tan conforme estás con la comunicación previa al evento?,"Si quieres, dejanos un comentario sobre la comunicación previa al evento:",¿Estuviste conforme con la categoría a la que fuiste asignado?,¿En cuál te hubiese gustado estar?,¿Qué tan útil creés que fue el hilo conductor de las charlas durante el BootCamp?,¿Qué tan conforme estuviste con las charlas de los oradores?,¿Cuál fue tu orador favorito? ¿Por qué?,"Si quieres, dejanos un comentario sobre los oradores:",¿Qué tan conforme estuviste con los mentores?,"Si quieres, dejanos un comentario sobre los mentores:",¿Qué tan conforme estuviste con la comida?,"Si quieres, dejanos un comentario sobre la comida:",¿Recomendarías el BootCamp a tus amigos o familia?,¿Qué recomendación nos harías para tener en cuenta en la próxima edición?,¿Te hospedaste en el Milhouse Hostel Avenue?,"Cuando llegaste a la habitación, ¿estaba todo en buenas condiciones? ¿Necesitaste ayuda en algo por parte del hotel? Contanos",¿Estás conforme con la elección de la habitación? ¿Sufriste alguna incomodidad? ,¿Algo que quieras decirnos? Te leemos,Te dejamos este espacio para hacer algún comentario extra
2/06/2026 18:41:09,10,10,SON UNOS GENIOOOS RE COPADOS,10,10,10,son lo emjor que ,Sí,,10,10,el de tiendanube un crack,muchas charlas,10,,10,falto postre,10,"muchas menos charlas, llega un punto que ya dejas de escuchar porque son demasiadas por dia. le daria mucho mas tiempo al ultimo dia, porque nos quedamos cortos con la presentacion y el pitch, era imposible aprenderse el pitch en tan poco tiempo, tambiensumaria mas tiempo para los que pasan a la final, deberian tener entre 30min y 40min",No,,,,los amo a todos gracias por tantas redbull casi me agarra taquicardia pero worth it
2/06/2026 18:41:14,10,9,Impecable,10,10,10,"Sentí que falto un poco de tiempo para laburar durante el segundo día, pero nada grave, despues nos acomodamos bien ",Sí,,10,10,TODOS,,10,,7,,10,-,Sí,Todo re bien,"Me hubiese gustado una habitacion con menos gente, en la de las chicas estuvimos hasta las 2am para bañarnos todas porque ademas llegabamos muy tarde al Hostel y todas juntas",-,
2/06/2026 18:44:15,10,10,Unos genios todos!! Super dispuestos a darnos una mano cada vez que lo necesitabamos,10,10,10,,Sí,,9,9,"Me gusto mucho la de Ale Vazquez y la de Mike, creo que fuero muy buenos oradores y super interesante lo que trajeron.",,10,Nos ayudaron muchisimo,9,,10,"Creo que me hubiese gustado un poco mas de tiempo para trabajar, considerando que particularmente en mi grupo a lo ultimo hicimos un poco todo a las apuradas",No,,,,"Muchisimas gracias a todo el equipo de TRAMA por hacer estos espacios, realmente fue el mejor bootcamp de la historia!"
2/06/2026 18:44:32,9,8,"Increíble, ante cualquier duda estuvieron al tanto.",10,7,10,,Sí,,7,9,Ale Vazquez: tienda nube. Me atrapó por la metodología story telling. ,,7,,9,,10,"Los tiempos de trabajo son muy cortos. Entiendo las actividades divertidas pero las acortaría. Las dejaría para el final, no en el medio porque uno está concentrado. Los días sábado y domingo optaría por charlas a la mañana y luego horario de trabajo. Los horarios de almuerzo y merienda los anunciaría pero no obligaría a que bajemos todos juntos. Y la noche cerrar con una actividad para descontracturar y cerrar el día.",No,,,,Gracias por todo 🚀 Fue un antes y después en mi vida. Es una oportunidad ÚNICA y un trabajo INCREÍBLE el que hacen. Go trameros!!
2/06/2026 18:45:47,10,10,"Increible, todos muy genios y cercanos, hicieron que el evento sea un 10",10,10,10,"Todo excelente, la unica mejora capaz podría ser mejorar la información con la que cuenta el bot de Planta, pero no se si eso depende de Trama o es tema de la empresa.",No,Procesos y Operaciones by Pan American Silver,10,10,Alejandro Vazquez. El speache fue inceible lo hizo sentir muy cercano y la historia de tienda nube muy buena.,,10,,8,"Muy bueno todo, capaz se podria mejorar el ulitmo almuerzo!",10,"Un poco de mayor orientación en sobre como encarar la busqueda del problema, la solución y por último en que enfocarze para el speach.
Una especie de guideline.",No,,,,El mejor BootCamp de la historia
2/06/2026 18:46:53,10,10,"La verdad que excelente, sobretodo las mentorias que recibimos de ustedes creo que fueron muy buenas ",10,7,9,,Sí,,7,8,El de tienda nube siento que aclaro muchas cosas y al contar su vida inspiro mucho ,,10,,8,,10,no se me ocurre nada ,No,,,,
2/06/2026 18:47:45,9,7,Excelente ,10,10,10,,Sí,,10,10,"Ale Vázquez, muy buena oratoria además de ser un crack. Me dejó pensando toda la semana en cosas q dijo y tmb pude bajar mas a tierra las cosas q dijo porque empezó como estudiante",,9,,10,,10,"La charlas están buenisimas pero creo que hubo demasiadas, menos tiempo de trabajo y tmb al último se volvía un poco tedioso",No,,,,
2/06/2026 18:51:50,10,10,Unos genios barbaros. Manejaron todo perfecto.,10,8,9,"Mi experiencia fue buenísima, pero hablo por parte de mis amigos que se quedaron afuera que segun ellos nunca mas recibieron noticias, y se quedaron con la duda hasta el día previo. Un detalle nada mas.",Sí,,10,10,"La de los chicos de Humand. Su mensaje es fuertisimo, a partir de ahí empecé a creer realmente en nuestra idea y en que acá afuera puedo también.",,10,"Muy variados y siempre con ojo critico, gracias a ellos nuestro proyecto llego lejos.",10,,10,"Quizá lo cortaría media hora antes o empezaría media hora después, porque la gente que vive bastante lejos se comió un lindo quilombo, aunque si soy sincero me lo bancaria otra vez.",No,,,,"Cracks, me dieron vuelta el año. Algun dia vuelvo como orador."
2/06/2026 18:52:32,10,9,"son unos genios, estuvieron atentos a todo y poniendo mucha energia. se nota que se super esforzaron para que el evento saliera increible y lo lograron.  ",10,10,10,,Sí,,8,8,"me gustó mucho la primera del ultimo día, siento que fue muy util porque nos dio tips de como presentar nuestro proyecto, lo cual me pareció fundamental. ",,10,,9,me quede con hambre el dia de chicken chill porque no me dieron papas 😢,10,"mas tiempo para hacer la presentacion y las slidessss, estuvimos todos los grupos muy cortos de tiempo",No,,,,"FUE INCREIBLEEEEEE, mil gracias por todo son unos genios 🙌🏻❤️"
2/06/2026 18:52:45,10,10,GENIOOOOOOOOOOOOS,10,10,10,,Sí,,10,10,"Javier Iguacel, me gusto mucho su recorrido y lo que explico de la energia en Argentina y en el Mundo. ",,5,"Traer mejores mentores en energias, talvez podrian traer alumnos del Itba que se esten por recibir y estudien o participen en actividades relacionadas a la energia (Como Denise que la tenia muy clara en ese rubro).  ",9,,10,"Traer mejores mentores en energias, talvez podrian traer alumnos del Itba que se esten por recibir y estudien o participen en actividades relacionadas a la energia.",No,,,,"Lo que hacen es, literalmente, de otro mundo. Me recontra emocioné con ustedes y me llevo toda la buena onda que transmitieron. En Buenos Aires a veces es difícil encontrar gente con esa vibra; hay mucha mala onda dando vueltas por ahí. Pero ustedes me hicieron darme cuenta de que existen espacios donde uno puede gritar o boludear sin que lo juzguen, sabiendo que todo lo que hagas va a ser recontra bien recibido.

Fue uno de los mejores findes de mi vida, sin ninguna duda. 

GRACIAS GRACIAS GRACIAS!!!"
